Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.645,2.761,2.599,2.761,1008573.0,2.697,2.5707,2.5707,2.4352,2.3659,2.3217,2.3185,2.2953,2.1433,2.1566,2.1404,2.0459,87.8834,78.1535,75.8677,68.9068
1/4/2000,2.784,2.854,2.691,2.715,2592549.0,2.7622,2.6171,2.5776,2.4591,2.3821,2.3339,2.326,2.3042,2.1523,2.1599,2.1475,2.0544,71.5669,71.3785,70.7471,66.4478
1/5/2000,2.715,2.9,2.599,2.784,1818879.0,2.7457,2.6635,2.5985,2.486,2.4004,2.3488,2.3348,2.3133,2.1599,2.1635,2.1541,2.0634,79.9447,75.0311,73.6229,68.2083
1/6/2000,2.854,2.97,2.831,2.97,2185241.0,2.9268,2.7563,2.6403,2.5217,2.4254,2.3692,2.3478,2.3257,2.1693,2.169,2.1617,2.0732,90.7944,81.944,79.4302,72.2281
1/7/2000,2.854,2.97,2.831,2.97,2185241.0,2.9268,2.7563,2.6403,2.5217,2.4254,2.3692,2.3478,2.3257,2.1693,2.169,2.1617,2.0732,90.7944,81.944,79.4302,72.2281
1/10/2000,2.854,2.97,2.831,2.97,2185241.0,2.9268,2.7563,2.6403,2.5217,2.4254,2.3692,2.3478,2.3257,2.1693,2.169,2.1617,2.0732,90.7944,81.944,79.4302,72.2281
1/11/2000,3.016,3.225,3.016,3.155,2939515.0,3.1757,2.8769,2.7006,2.5653,2.4567,2.3924,2.364,2.3424,2.1802,2.1759,2.1701,2.0838,94.9182,86.2322,83.3726,75.4405
1/12/2000,3.155,3.248,3.109,3.202,1918012.0,3.2072,2.9651,2.7679,2.6108,2.4892,2.4174,2.3807,2.3597,2.1923,2.1833,2.1787,2.0948,95.6491,87.0942,84.1885,76.1539
1/13/2000,3.202,3.248,3.109,3.179,1808104.0,3.1775,3.0579,2.8375,2.6537,2.5206,2.4431,2.397,2.3766,2.2043,2.1906,2.1866,2.1054,86.3361,84.1311,82.0214,75.0267
1/14/2000,3.179,3.179,3.063,3.109,2101193.0,3.1047,3.1229,2.8932,2.6932,2.55,2.4663,2.4138,2.3923,2.2157,2.1972,2.1936,2.1154,60.0327,75.4659,75.7238,71.7316
